text,label
Lunch plan today?,ham
Urgent: Your account needs verification. Click now!,spam
Your order has been shipped.,ham
Reminder: Project deadline is next week.,ham
Limited-time offer! Claim your reward now!,spam
Urgent: Your account needs verification. Click now!,spam
Let's connect over a call tomorrow.,ham
Urgent: Your account needs verification. Click now!,spam
You have been selected for a free prize!,spam
You have been selected for a free prize!,spam
Don't forget the team meeting today.,ham
Win a brand new iPhone today!,spam
Get rich fast with this investment opportunity!,spam
Your report has been approved.,ham
Limited-time offer! Claim your reward now!,spam
Earn money from home with this simple trick!,spam
Get rich fast with this investment opportunity!,spam
Lunch plan today?,ham
Let's connect over a call tomorrow.,ham
Lunch plan today?,ham
Get rich fast with this investment opportunity!,spam
Let's connect over a call tomorrow.,ham
Invoice for last month is attached.,ham
Get rich fast with this investment opportunity!,spam
Get rich fast with this investment opportunity!,spam
Reminder: Project deadline is next week.,ham
This is your last chance to claim your gift!,spam
Congratulations! You won a lottery worth $$$!,spam
Can we reschedule the meeting?,ham
Lunch plan today?,ham
Exclusive deal insideâ€”don't miss it!,spam
Congratulations! You won a lottery worth $$$!,spam
Meeting scheduled for tomorrow at 10 AM.,ham
Reminder: Project deadline is next week.,ham
Lunch plan today?,ham
Your report has been approved.,ham
FREE coupon waiting for you!,spam
Urgent: Your account needs verification. Click now!,spam
Get rich fast with this investment opportunity!,spam
Lunch plan today?,ham
Your report has been approved.,ham
FREE coupon waiting for you!,spam
Please find the attached document.,ham
Reminder: Project deadline is next week.,ham
You have been selected for a free prize!,spam
Don't forget the team meeting today.,ham
Invoice for last month is attached.,ham
Earn money from home with this simple trick!,spam
Earn money from home with this simple trick!,spam
Invoice for last month is attached.,ham
